pop_fit_avg,pop_fit_var,pop_fit_max,pop_fit_min,pop_opt_avg,pop_opt_var,pop_opt_max,pop_opt_min,pnt_fit_avg,pnt_fit_var,pnt_fit_max,pnt_fit_min,pnt_opt_avg,pnt_opt_var,pnt_opt_max,pnt_opt_min,gen,pop_uni_obj,com_sol_cnt,ele_agg_per,ele_opt_cnt,com_agg_per,com_opt_cnt,opt_agg_per,opt_obj_cnt,los_div,sel_pre,sel_var
22.1658,30.4548,38.9133,9.4851,0,0,0,0,22.1658,30.4548,38.9133,9.4851,0,0,0,0,88,0,1,38.9133,0,38.9133,0,38.9133,0,1,2.3331e-16,1
22.4009,30.6966,38.9133,10.4835,0,0,0,0,22.4009,30.6966,38.9133,10.4835,0,0,0,0,89,0,1,38.9133,0,38.9133,0,38.9133,0,1,1.15736e-16,1
22.6852,31.3207,39.854,10.4835,0,0,0,0,22.6852,31.3207,39.854,10.4835,0,0,0,0,90,0,1,39.854,0,39.854,0,39.854,0,1,-1.1343e-16,1
22.9486,31.469,39.7428,10.5489,0,0,0,0,22.9486,31.469,39.7428,10.5489,0,0,0,0,91,0,1,39.7428,0,39.7428,0,39.7428,0,1,-2.25791e-16,1
23.2352,31.9295,40.0454,10.5489,0,0,0,0,23.2352,31.9295,40.0454,10.5489,0,0,0,0,92,0,1,40.0454,0,39.7428,0,39.7428,0,1,1.11267e-16,1
23.46,32.3891,40.2703,10.5489,0,0,0,0,23.46,32.3891,40.2703,10.5489,0,0,0,0,93,0,1,40.2703,0,40.0454,0,40.0454,0,1,0,1
23.6892,32.957,40.4225,10.5489,0,0,0,0,23.6892,32.957,40.4225,10.5489,0,0,0,0,94,0,1,40.4225,0,40.0454,0,40.0454,0,1,1.07798e-16,1
23.9655,33.1745,40.8185,11.2546,0,0,0,0,23.9655,33.1745,40.8185,11.2546,0,0,0,0,95,0,1,40.8185,0,40.0454,0,40.0454,0,1,-1.07092e-16,1
24.2057,33.5446,40.8185,11.2546,0,0,0,0,24.2057,33.5446,40.8185,11.2546,0,0,0,0,96,0,1,40.8185,0,39.4489,0,39.4489,0,1,1.0591e-16,1
24.4713,34.103,40.9009,11.5979,0,0,0,0,24.4713,34.103,40.9009,11.5979,0,0,0,0,97,0,1,40.9009,0,40.2703,0,40.2703,0,1,-1.04176e-16,1
24.689,34.5201,41.2957,11.5979,0,0,0,0,24.689,34.5201,41.2957,11.5979,0,0,0,0,98,0,1,41.2957,0,40.0513,0,40.0513,0,1,2.05834e-16,1
24.915,34.4881,42.6457,11.5979,0,0,0,0,24.915,34.4881,42.6457,11.5979,0,0,0,0,99,0,1,42.6457,0,42.6457,0,42.6457,0,1,0,1
25.1006,34.5247,42.3438,11.5979,0,0,0,0,25.1006,34.5247,42.3438,11.5979,0,0,0,0,100,0,1,42.3438,0,42.3438,0,42.3438,0,1,1.02904e-16,1
25.3406,34.9142,42.3438,11.5979,0,0,0,0,25.3406,34.9142,42.3438,11.5979,0,0,0,0,101,0,1,42.3438,0,42.3438,0,42.3438,0,1,2.03511e-16,1
25.5824,35.0022,42.0726,11.1698,0,0,0,0,25.5824,35.0022,42.0726,11.1698,0,0,0,0,102,0,1,42.0726,0,41.5875,0,41.5875,0,1,-1.015e-16,1
25.7939,35.2327,42.0726,11.1698,0,0,0,0,25.7939,35.2327,42.0726,11.1698,0,0,0,0,103,0,1,42.0726,0,42.0726,0,42.0726,0,1,0,1
26.0566,35.8975,43.3136,11.1698,0,0,0,0,26.0566,35.8975,43.3136,11.1698,0,0,0,0,104,0,1,43.3136,0,43.3136,0,43.3136,0,1,0,1
26.3232,36.6778,43.3136,11.1698,0,0,0,0,26.3232,36.6778,43.3136,11.1698,0,0,0,0,105,0,1,43.3136,0,43.3136,0,43.3136,0,1,9.68628e-17,1
26.5432,37.1308,43.4917,11.1698,0,0,0,0,26.5432,37.1308,43.4917,11.1698,0,0,0,0,106,0,1,43.4917,0,43.4917,0,43.4917,0,1,9.5681e-17,1
26.7689,37.2353,43.4917,11.1698,0,0,0,0,26.7689,37.2353,43.4917,11.1698,0,0,0,0,107,0,1,43.4917,0,43.4917,0,43.4917,0,1,2.86237e-16,1
26.9995,37.6481,43.7074,11.532,0,0,0,0,26.9995,37.6481,43.7074,11.532,0,0,0,0,108,0,1,43.7074,0,43.4917,0,43.4917,0,1,-9.43663e-17,1
27.2184,37.956,45.2245,11.532,0,0,0,0,27.2184,37.956,45.2245,11.532,0,0,0,0,109,0,1,45.2245,0,43.4917,0,43.4917,0,1,-9.36009e-17,1
27.4217,37.9034,45.2245,11.532,0,0,0,0,27.4217,37.9034,45.2245,11.532,0,0,0,0,110,0,1,45.2245,0,45.2245,0,45.2245,0,1,9.37307e-17,1
27.739,38.2065,45.2245,12.5039,0,0,0,0,27.739,38.2065,45.2245,12.5039,0,0,0,0,111,0,1,45.2245,0,45.2245,0,45.2245,0,1,-9.29873e-17,1
27.9338,38.7238,45.2245,12.5039,0,0,0,0,27.9338,38.7238,45.2245,12.5039,0,0,0,0,112,0,1,45.2245,0,45.2245,0,45.2245,0,1,-1.8349e-16,1
28.1358,39.5566,45.9108,12.5039,0,0,0,0,28.1358,39.5566,45.9108,12.5039,0,0,0,0,113,0,1,45.9108,0,45.9108,0,45.9108,0,1,0,1
28.3989,39.6792,45.9108,12.5039,0,0,0,0,28.3989,39.6792,45.9108,12.5039,0,0,0,0,114,0,1,45.9108,0,45.9108,0,45.9108,0,1,-1.79072e-16,1
28.6315,40.0797,46.1105,12.5039,0,0,0,0,28.6315,40.0797,46.1105,12.5039,0,0,0,0,115,0,1,46.1105,0,44.8561,0,44.8561,0,1,-8.86411e-17,1
28.8437,39.91,46.1105,12.5039,0,0,0,0,28.8437,39.91,46.1105,12.5039,0,0,0,0,116,0,1,46.1105,0,46.1105,0,46.1105,0,1,0,1
29.063,40.5017,46.1105,12.8049,0,0,0,0,29.063,40.5017,46.1105,12.8049,0,0,0,0,117,0,1,46.1105,0,46.1105,0,46.1105,0,1,-1.75435e-16,1
29.3017,40.7676,47.1739,12.8049,0,0,0,0,29.3017,40.7676,47.1739,12.8049,0,0,0,0,118,0,1,47.1739,0,47.1739,0,47.1739,0,1,8.71455e-17,1
29.4918,41.0397,47.4724,13.098,0,0,0,0,29.4918,41.0397,47.4724,13.098,0,0,0,0,119,0,1,47.4724,0,47.1739,0,47.1739,0,1,-1.73136e-16,1
29.6648,41.1705,48.4291,13.1925,0,0,0,0,29.6648,41.1705,48.4291,13.1925,0,0,0,0,120,0,1,48.4291,0,47.1739,0,47.1739,0,1,8.62928e-17,1
29.8777,41.3144,48.8276,13.0335,0,0,100,0,29.8777,41.3144,48.8276,13.0335,0,0,0,0,121,100,1,48.8276,0,48.8276,0,48.8276,0,1,8.59921e-17,1
30.1478,42.0757,49.3786,13.0335,0,0,100,0,30.1478,42.0757,49.3786,13.0335,0,0,0,0,122,100,1,49.3786,0,49.3786,0,49.3786,0,1,8.44362e-17,1
